"","year","month","WaterElevation","Temp","Precipitation","Date"
"1",1991,1,656.686666666667,48.8709677419355,5.08,Jan 1991
"2",1991,2,660.355,56.5535714285714,2.34,Feb 1991
"3",1991,3,655.345,63.9516129032258,1.06,Mar 1991
"4",1991,4,663.4,72.35,4.91,Apr 1991
"5",1991,5,663.45,77.6451612903226,5.3,May 1991
"6",1991,6,651.57,82.75,2.28,Jun 1991
"7",1991,7,651.01,84.5322580645161,2.23,Jul 1991
"8",1991,8,642.15,85.8387096774194,2.84,Aug 1991
"9",1991,9,649.81,77.8,1.42,Sep 1991
"10",1991,10,647.5,73.241935483871,0.87,Oct 1991
"11",1991,11,651.875,57.3666666666667,0.47,Nov 1991
"12",1991,12,668.35,55.5161290322581,13.96,Dec 1991
"13",1992,1,683.191428571429,50.7258064516129,5.64,Jan 1992
"14",1992,2,694.14,59.0862068965517,6.37,Feb 1992
"15",1992,3,696.518571428571,63.3387096774194,6.12,Mar 1992
"16",1992,4,695.873333333333,68.9666666666667,3.03,Apr 1992
"17",1992,5,696.074285714286,73.6612903225806,8.15,May 1992
"18",1992,6,700.336666666667,82.4833333333333,5.67,Jun 1992
"19",1992,7,692.814285714286,84.6774193548387,1.28,Jul 1992
"20",1992,8,691.296666666667,82.1451612903226,2.56,Aug 1992
"21",1992,9,688.653333333333,81.6833333333333,1.12,Sep 1992
"22",1992,10,687.02,73.3870967741936,0.92,Oct 1992
"23",1992,11,690.268333333333,57.2333333333333,3.47,Nov 1992
"24",1992,12,691.911428571429,56.241935483871,2.16,Dec 1992
"25",1993,1,691.344285714286,51.1290322580645,1.31,Jan 1993
"26",1993,2,691.215,55.4821428571429,3.72,Feb 1993
"27",1993,3,690.244285714286,61.4516129032258,1.56,Mar 1993
"28",1993,4,688.155,67.25,1.81,Apr 1993
"29",1993,5,691.14,73.8709677419355,12.47,May 1993
"30",1993,6,688.86,81.5166666666667,6.43,Jun 1993
"31",1993,7,683.585714285714,86.0483870967742,0,Jul 1993
"32",1993,8,673.724285714286,87.241935483871,0.01,Aug 1993
"33",1993,9,673.803333333333,81.5,0.52,Sep 1993
"34",1993,10,674.96,70.6451612903226,3.07,Oct 1993
"35",1993,11,678.075,56.2666666666667,0.66,Nov 1993
"36",1993,12,677.743333333333,55.0483870967742,0.44,Dec 1993
"37",1994,1,676.47,52.3064516129032,1.55,Jan 1994
"38",1994,2,675.451666666667,56.125,0.64,Feb 1994
"39",1994,3,675.961666666667,63.8548387096774,5.06,Mar 1994
"40",1994,4,673.5,69.8166666666667,2.21,Apr 1994
"41",1994,5,676.742857142857,76.0322580645161,7.01,May 1994
"42",1994,6,665.613333333333,84.5,1.66,Jun 1994
"43",1994,7,656.88,87.8225806451613,0.5,Jul 1994
"44",1994,8,655.403333333333,86.0645161290323,2.54,Aug 1994
"45",1994,9,663.84,78.3833333333333,5.52,Sep 1994
"46",1994,10,670.656666666667,72.6129032258064,9.75,Oct 1994
"47",1994,11,674.583333333333,64.7333333333333,0.71,Nov 1994
"48",1994,12,674.226666666667,56.9193548387097,3.28,Dec 1994
"49",1995,1,675.606666666667,53.4677419354839,0.28,Jan 1995
