"Monthly Time Series Summary of Precipitation (1940 - 2025), Stn: 12909"

Station:,SAN ANTONIO KELLY FIELD AFB,State:,TX,ID:,12909
Latitude:,29.38333 degreeN,Longitude:,98.58333 degreeW,Elevation:,690.0 feet
Station period of record:,pcpn: 01/01/1949-06/04/2025

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
1967,0.14,0.47,1.22,1.08,0.54,T,3.42,0.86,12.29,1.47,3.35,1.08,25.92
1968,9.04,1.80,1.03,1.74,3.31,5.36,M,0.92,3.64,1.24,4.19,0.55,M
1969,1.47,2.36,2.92,2.58,7.43,1.81,0.03,6.70,1.16,6.34,2.29,2.16,37.25
1970,1.12,2.97,2.31,1.27,9.29,0.68,0.49,2.73,3.05,1.03,T,0.23,25.17
1971,M,M,M,M,M,M,M,M,M,M,M,M,M
1972,M,M,M,M,M,M,M,M,M,M,M,M,M
1973,M,M,M,M,M,M,M,M,M,M,M,M,M
1974,M,M,M,M,M,M,M,M,M,M,M,M,M
1975,M,M,M,M,M,M,M,M,M,M,M,M,M
1976,M,M,M,M,M,M,M,M,M,M,M,M,M
1977,M,M,M,M,M,M,M,M,M,M,M,M,M
1978,M,M,M,M,M,M,M,M,M,M,M,M,M
1979,M,M,M,M,M,M,M,M,M,M,M,M,M
1980,M,M,M,M,M,M,M,M,M,M,M,M,M
1981,M,M,M,M,M,M,M,M,M,M,M,M,M
1982,M,M,M,M,M,M,M,M,M,M,M,M,M
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,M,M,M,M,M,M,M,M,M
1985,M,M,M,M,M,M,M,M,M,M,M,M,M
1986,M,M,M,M,M,M,M,M,M,M,M,M,M
1987,M,M,M,M,M,M,M,M,M,M,M,M,M
1988,M,M,M,M,M,M,M,M,M,M,M,M,M
1989,M,M,M,M,M,M,M,M,M,M,M,M,M
1990,M,M,M,M,M,M,M,M,M,M,M,M,M
1991,M,M,M,M,M,M,M,M,M,M,M,M,M
1992,M,M,M,M,M,M,M,M,M,M,M,M,M
1993,M,M,M,M,M,M,M,M,M,M,M,M,M
1994,M,M,M,M,M,M,M,M,M,M,M,M,M
1995,M,M,M,M,M,M,M,M,M,M,M,M,M
1996,M,M,M,M,M,M,M,M,M,M,M,M,M
1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1998,M,M,M,M,M,M,M,M,M,M,M,M,M
1999,M,M,M,M,M,M,M,M,M,M,M,M,M
2000,M,M,M,M,M,M,M,M,M,M,M,M,M
2001,M,M,M,M,M,M,M,M,M,M,M,M,M
2002,M,M,M,M,M,M,M,M,M,M,M,M,M
2003,M,M,M,M,M,M,M,M,M,M,M,M,M
2004,M,M,M,M,M,M,M,M,M,M,M,M,M
2005,M,M,M,M,M,M,M,M,M,M,M,M,M
2006,M,M,M,M,M,M,M,M,M,M,M,M,M
2007,M,M,M,M,M,M,M,M,M,M,M,M,M
2008,M,M,M,M,M,M,M,M,M,M,M,M,M
2009,M,M,M,M,M,M,M,M,M,M,M,M,M
2010,M,M,M,M,M,M,M,M,M,M,M,M,M
2011,M,M,M,M,M,M,M,M,M,M,M,M,M
2012,M,M,M,M,M,M,M,M,M,M,M,M,M
2013,M,M,M,M,M,M,M,M,M,M,M,M,M
2014,M,M,M,M,M,M,M,M,M,M,M,M,M
2015,M,M,M,M,M,M,M,M,M,M,M,M,M
2016,M,M,M,M,M,M,M,M,M,M,M,M,M
2017,M,M,M,M,M,M,M,M,M,M,M,M,M
2018,M,M,M,M,M,0.26,2.35,0.86,6.55,5.38,1.20,1.92,M
2019,0.95,0.28,0.04,2.40,3.30,7.29,0.01,0.06,0.56,3.44,0.29,0.29,18.91
2020,0.71,0.72,1.22,2.07,4.08,1.49,0.88,0.80,2.50,0.12,1.92,M,M
2021,0.74,1.06,0.98,3.79,5.73,4.74,7.22,2.50,0.56,4.60,1.17,0.80,33.89
2022,0.20,2.35,0.19,0.45,2.83,1.45,T,1.30,0.50,0.82,1.98,0.29,12.36
2023,0.49,0.86,1.96,4.25,6.82,1.13,0.45,0.27,0.58,1.92,1.47,0.82,21.02
2024,4.66,0.41,1.07,2.16,1.03,3.59,3.43,0.12,1.12,0.01,M,M,M
2025,M,M,M,M,M,M,M,M,M,M,M,M,M

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
Max,9.04,5.89,3.72,10.19,9.29,7.29,7.22,6.70,12.29,9.02,4.46,3.76,41.91
Min,0.14,T,0.03,0.13,0.08,T,T,T,0.06,0.00,T,0.01,8.96
Avg,1.384,1.861,1.283,2.411,3.489,2.329,1.515,1.765,3.114,2.838,1.543,1.154,24.584
Normals,M,M,M,M,M,M,M,M,M,M,M,M,M

